Sample ID,Date,Latitude,Longitude,Location,Water Type,_18O,_D,D-excess
MSTI014,1/22/20,2.9499,36.0864,Lothagam,Ground,18.95,19.68,-131.92
G06,5/28/17,4.3211,36.2267,Il Eeriet,Ground,-4.76,-27.17,10.91
G01,1/31/17,4.2163,36.3067,Il Nitirwa,Ground,-1.33,-6.83,3.81
G02,2/10/17,4.1917,36.2342,Il Kimere,Ground,-0.35,-1.56,1.24
G03,3/18/17,3.0829,35.515,TBI-Turkwel,Ground,2.25,14.92,-3.08
G08,7/5/17,3.0829,35.515,TBI-Turkwel,Ground,0.28,5.7,3.46
MSTW-21-01,7/4/21,3.142,35.862,TBI-Turkwel,River,-1.14,-0.6,8.57
MSTW-21-02,7/5/21,3.1425,35.8622,TBI-Turkwel,River,-1.21,0,9.73
MSTW-21-03,7/5/21,3.1449,35.8618,Turkwel River well,Ground,-1.22,1.9,11.6
MSTW-21-04,7/5/21,3.0976,36.132,Turkwel River delta,River,-0.61,3.5,8.35
MSTW-21-05,7/5/21,3.1026,36.1433,Turkwel River delta,River,-0.64,3.2,8.28
MSTW-21-06,7/5/21,3.1039,36.1446,Turkwel River delta,River,-0.61,3.4,8.32
MSTW-21-07,7/5/21,3.1096,35.1479,Turkwel River delta,River,-0.58,3.6,8.21
MSTW-21-08,7/5/21,3.11,36.1482,Turkwel River delta,Lake,-0.55,3.6,8.04
MSTW-21-09,7/5/21,3.2537,36.0208,Eliye Springs Resort,Lake,5.07,40.3,-0.26
MSTW-21-10,7/5/21,3.2524,36.0207,Eliye Springs Resort,Ground,-2.67,-4.5,16.91
MSTW-21-11,7/6/21,3.142,35.862,TBI-Turkwel,River,-1.17,0.8,10.13
MSTW-21-12,7/7/21,3.142,35.862,TBI-Turkwel,Ground,-1.32,3.2,13.78
MSTW-21-13,7/7/21,3.142,35.8621,TBI-Turkwel,River,-0.9,2.3,9.54
MSTW-21-14,7/11/21,2.9352,36.0593,Lothagam,Ground,-3.35,-21,5.79
MSTW-21-15,7/12/21,2.9414,36.0281,Lothagam borehole,Ground,1.36,14.4,3.49
MSTW-21-16,7/13/21,2.8966,36.0636,Nabwal Arangan water hole,Surface,-0.81,-13.3,-6.77
MSTW-21-17,7/15/21,2.9274,36.0581,Lothagam,Ground,-5.71,-33.1,12.56
MSTW-21-18,7/19/21,3.142,35.8621,TBI-Turkwel,River,1.43,9.5,-1.96
