"","SampleID","Date","Time","WaterType","Location","Latitude","Longitude","Sample n","d18O","d18Osd","dD","dDsd","Dexcess"
"50","L20",2018-02-25,10:00:00,"Lake","Kale Beach",4.2572,36.2225,1,5.22,NA,38.25,NA,-3.51
"51","L23",2018-07-01,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.13,NA,35.97,NA,-5.07
"52","L26",2018-07-15,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.1,NA,36.44,NA,-4.36
"53","L27",2018-07-22,NA,"Lake","Kale Beach",4.2769,36.2212,1,5,NA,36.2,NA,-3.8
"54","LT01",2018-07-31,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.42,NA,37.08,NA,-6.28
"55","LT02",2018-08-15,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.31,NA,35.49,NA,-6.99
"56","LT03",2018-08-30,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.33,NA,35.24,NA,-7.4
"57","LT04",2018-09-15,NA,"Lake","Kale Beach",4.1562,36.1343,1,5.18,NA,32.87,NA,-8.57
"58","LT05",2018-09-30,NA,"Lake","Kale Beach",4.1562,36.1344,1,6.56,NA,40.65,NA,-11.83
"59","LT06",2018-10-15,NA,"Lake","Kale Beach",4.2623,36.2232,1,4.87,NA,33.98,NA,-4.98
"60","LT07",2018-11-01,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.91,NA,34.4,NA,-4.88
"61","LT08",2018-11-15,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.88,NA,33.95,NA,-5.09
"62","LT09",2018-12-04,NA,"Lake","Kale Beach",4.2621,36.2232,1,4.6,NA,33.18,NA,-3.62
"63","LT10",2018-12-15,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.89,NA,32.69,NA,-6.43
"64","LT11",2019-02-02,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.72,NA,33.67,NA,-4.09
"65","LT12",2019-04-01,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.55,NA,33.19,NA,-3.21
"66","LT13",2019-04-15,NA,"Lake","Kale Beach",4.2619,36.2235,1,4.81,NA,34.87,NA,-3.61
"67","LT14",2019-05-02,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.67,NA,34.25,NA,-3.11
"68","LT15",2019-05-31,NA,"Lake","Kale Beach",4.2621,36.223,1,4.81,NA,34.52,NA,-3.96
"69","LT16",2019-06-03,NA,"Lake","Kale Beach",4.2621,36.2231,1,4.63,NA,33.26,NA,-3.78
"70","MSTI001",2019-09-22,NA,"Lake","Kale Beach",4.2618,36.2232,1,5.13,NA,37.48,NA,-3.56
"71","MSTI003",2019-09-26,NA,"Lake","Kale Beach",4.2618,36.2232,1,5.09,NA,36.84,NA,-3.88
"72","L03",2017-02-10,18:30:00,"Lake","Il Kimere Delta",4.1766,36.2332,1,5.62,NA,39.95,NA,-5.01
