SampleID,Date,Time,WaterType,Location,Latitude,Longitude,SurfaceTempC,Sample n,d18O,d18Osd,dD,dDsd,Dexcess
LT14,2019-05-02,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.67,NA,34.25,NA,-3.11
LT15,2019-05-31,NA,Lake,Kale Beach,4.2621,36.2230,NA,1,4.81,NA,34.52,NA,-3.96
LT16,2019-06-03,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.63,NA,33.26,NA,-3.78
MSTI001,2019-09-22,NA,Lake,Kale Beach,4.2618,36.2232,NA,1,5.13,NA,37.48,NA,-3.56
MSTI003,2019-09-26,NA,Lake,Kale Beach,4.2618,36.2232,NA,1,5.09,NA,36.84,NA,-3.88
L03,2017-02-10,18:30,Lake,Il Kimere Delta,4.1766,36.2332,NA,1,5.62,NA,39.95,NA,-5.01
MSTI004,2019-09-27,NA,Lake,Tulu Bor Delta,4.1786,36.2367,NA,1,5.22,NA,37.26,NA,-4.5
L004,2016-10-04,NA,Lake,Koobi Fora Field Camp,3.9479,36.1863,NA,1,5.32,NA,39.2,NA,-3.36
L04,2017-02-15,17:00,Lake,Koobi Fora Field Camp,3.9479,36.1863,NA,1,5.54,NA,38.99,NA,-5.33
L19,2018-02-14,17:00,Lake,Koobi Fora Field Camp,3.9479,36.1863,NA,1,5.42,NA,38.91,NA,-4.45
L24,2018-07-06,NA,Lake,Koobi Fora Field Camp,3.9496,36.1861,NA,1,5.88,NA,39.65,NA,-7.39
MSTI007,2019-10-02,NA,Lake,Koobi Fora Museum ,3.8809,36.3257,NA,1,5.19,NA,37.33,NA,-4.19
L07,2017-03-26,17:00,Lake,Nariokotome,4.1072,35.9174,NA,1,5.63,NA,40.11,NA,-4.93
L21,2018-03-22,16:00,Lake,Nariokotome,4.1072,35.9174,NA,1,4.76,NA,35.85,NA,-2.23
MSTI013,2020-01-18,NA,Lake,Topernawi,3.7946,35.8538,NA,1,4.71,NA,32.22,NA,-5.46
