"","SampleID","Date","Latitude","Longitude","Location","WaterType","d18O","dD","Dexcess"
"124","MSTW-21-09",2021-07-05,3.2537,36.0208,"Eliye Springs Resort","Lake",5.07,40.3,-0.26
"125","MSTW-21-10",2021-07-05,3.2524,36.0207,"Eliye Springs Resort","Ground",-2.67,-4.5,16.91
"126","MSTW-21-11",2021-07-06,3.142,35.862,"TBI-Turkwel","River",-1.17,0.8,10.13
"127","MSTW-21-12",2021-07-07,3.142,35.862,"TBI-Turkwel","Ground",-1.32,3.2,13.78
"128","MSTW-21-13",2021-07-07,3.142,35.8621,"TBI-Turkwel","River",-0.9,2.3,9.54
"129","MSTW-21-14",2021-07-11,2.9352,36.0593,"Lothagam","Ground",-3.35,-21,5.79
"130","MSTW-21-15",2021-07-12,2.9414,36.0281,"Lothagam borehole","Ground",1.36,14.4,3.49
"131","MSTW-21-16",2021-07-13,2.8966,36.0636,"Nabwal Arangan water hole","Surface",-0.81,-13.3,-6.77
"132","MSTW-21-17",2021-07-15,2.9274,36.0581,"Lothagam","Ground",-5.71,-33.1,12.56
"133","MSTW-21-18",2021-07-19,3.142,35.8621,"TBI-Turkwel","River",1.43,9.5,-1.96
